id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO - UENF,UNIVERSIDADE,ESTADUAL,PÚBLICA ESTADUAL,ATIVA,RJ,RJ,Campos dos Goytacazes,Campos dos Goytacazes,RJ,PÚBLICA,ESTADUAL
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL - UEMS,UNIVERSIDADE,ESTADUAL,PÚBLICA ESTADUAL,ATIVA,MS,MS,Dourados,Dourados,MS,PÚBLICA,ESTADUAL
10290,FACULDADE DE OURO PRETO DO OESTE - FAOURO,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,RO,,Ouro Preto do Oeste,,RO,PRIVADA,FEDERAL
10291,FACULDADE DINAMICA - FACDINAMICA,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Jaraguá,,GO,PRIVADA,FEDERAL
10295,FACULDADE JAIME KRATZ - FJKAMP,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SP,,Campinas,,SP,PRIVADA,FEDERAL
1030,CENTRO UNIVERSITARIO IBMEC RIO DE JANEIRO - IBMEC RJ,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,RJ,RJ,Rio de Janeiro,Rio de Janeiro,RJ,PRIVADA,FEDERAL
10302,FACULDADE DE TECNOLOGIA PROF. LUIZ ROSA - FATEC LUIZ ROSA,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SP,,Jundiaí,,SP,PRIVADA,FEDERAL
10311,FACULDADE PADRAO - PADRAO,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Goiânia,,GO,PRIVADA,FEDERAL
10313,CENTRO DE ESTUDOS E PESQUISAS EM ORTODONTIA - CEPO,INSTITUIÇÃO ESPECIALMENTE CREDENCIADA PARA OFERTA DE CURSOS LATO SENSU,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,CE,,Fortaleza,,CE,PRIVADA,FEDERAL
1032,CENTRO UNIVERSITARIO SALESIANO DE SAO PAULO - UNISAL,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,SP,SP,Americana,Americana,SP,PRIVADA,FEDERAL
10323,FACULDADE SAO PAULO TECH SCHOOL - SPTECH,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,SP,SP,São Paulo,São Paulo,SP,PRIVADA,FEDERAL
